Feature,Importance
kw_avg_avg,0.04497348115082322
kw_max_avg,0.040644059563818204
LDA_04,0.033917647847601554
LDA_02,0.033222372315151016
kw_avg_max,0.03233694074307379
kw_avg_min,0.030944101286894975
self_reference_min_shares,0.030812336279201248
LDA_03,0.02996055332635178
global_subjectivity,0.02928234624829271
n_non_stop_unique_tokens,0.029184293104168525
LDA_01,0.029101529098842515
n_unique_tokens,0.02868059119466144
LDA_00,0.028608283714054984
self_reference_avg_sharess,0.028290769675441006
average_token_length,0.02822155706017233
global_rate_positive_words,0.027634317936675663
global_sentiment_polarity,0.02694830175894948
avg_positive_polarity,0.026885347788423487
n_tokens_content,0.026752499104470567
kw_max_min,0.026453835853927386
